comment,rating
Dear thank you.,5
Tolong tambahkan fitur untuk menambahkan template,5
efek ny kurang bagus dan cantik,1
Fatmah,1
tetap terhubung dengan grup family pribadi saya ini berkelanjutan dan sangat memuaskan.,5
bagus aplikasi yaa,5
"KLO MAU GANTI SAMPUL SOROTAN KENAPA LOADING NYA LAMAAAAAA BANGET? udah nyoba hapus cache tapi tetep aja lama, jaringan juga oke kok pas mau ganti sampul sorotan.",1
"Instagram's server is currently lagging, please fix it",1
ok,4
"Mantap, hidup Instagram",5
oke,5
kok gk bisa di download kang,1
Yee 😁,4
aku cari filter tpi gak ada,3
the best pokoknya,5
"Instagram support ga membantu sama sekali, akun sy nyangkut di autentifikasi 2 faktor, nomor yang dipake utk verif udh mati, sedangkan sy ga punya kode cadangan. Pas mau minta kode yg baru disuruh verif lg kalo itu beneran sy, mau hapus autentifikasi 2 faktor jg hrs verif lg, mau hapus nomor telpon nya aja hrs verif lg, terus aja gitu berputar², ini siapapun yg bisa hack akun tolong email sy 🙏",1
aneh,1
Semoga perangkat hp saya jadi mengizinkan Instagram 😌!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
gak pernah posting yang gak gak ke bened trus si Ig aneh bnget udh 3 kali bikin sama aja begini lagi begini lagi,2
🥰🥰🥰,5
Cob\ alagi,1
Kampreeert baru di up date uda minta lagi.. file juga besar.. parah ..,5
"aplikasi ter jelek, akun gw kena ban pdhl ga ngapa²in trs bikin akun baru gada sejam kena ban, bikin lagi gada 5 menit kena juga, sumpah gw ga ngapa²in udh bikin email bru jg",1
bagus,5
banyak,2
bagus,5
bisa melihat vidio vidio yang ga bisa di lihat di tiktok dan vidio nya tidak di blokir oleh ig👍👍👍,5
sangatttttt bagus untuk profesional kerja,5
aplikasi nya bagus tapi tolong tambahin efek tutup wajah,3
Menyenangkan,5
muantap,5
aplikasih yang sangat baguss untuk kito yang nak main ig,5
good,5
lebih bagus lagi updatenya,5
terbaik pokok nya🥰,5
"mohon kepada developer, akun saya telah di retas, karna saya merasa bahwa saya tidak memiliki akun yang huruf awal M namun saya tidak bisa login, dan pihak Instagram tidak bisa memulihkanya, saya sangat kecewa dengan Instagram, inisial akun saya ""dmas.ig"" akun tersebut telah di retas, saya tidak tau harus berbuat apa,semoga di baca developer, sungguh sangat kecewa padahal akun dengan follower rendah,masih saja di retas, serapuh itu kah keamanan Ig, mohon di respon",1
bagus deh,4
bagus bisa Poto Poto ada viter lagi sukan banget dah,5
mantap,4
Filter nya susah di cari!!!,1
"kenapa instagram saya tidak mau di buka dari pagi tadi, tolong jawab",3
senang trimakasih banyakk,5
mannn,5
aplikasinya bagus tapi kenapa setiap aku masuk selalu tidak bisa?? plis..,5
kenapa pas aku udah bikin akun malah gak ada filter dong gimana sih padahal aku gak punya foto sama sekali tolong diperbaiki,3
sangat keren,5
kenapa sih meta wajib ketat banget lengah dikit akun lenyap plis deh aku juga mau matuhin standar komunitas lu mau kek mana cok gak semua orang mampu beli kuota tiap hari,1
Bagus🗿,3
sangat membantu,5
haaahhhhhhhh😴😴,1
bagus,5
M A N T A P,5
bagus,5
Saya suka layanan instagram,5
ok 👌,5
di suruh beri,4
aplikasi yg bagus,5
keren,5
bgus,5
anehhh bgt fitur catatan mlh diilangin pdhal enak bgt tuh fitur heran mnding balikin lgi fitur nya,4
bagus banget apk nya,5
gak tau,5
"Wonder Application Social Media 4 withdraw money for Visa Card, AMEX and Mastercard..",5
bagus,5
keren tapi agak loding😅,5
menjelajahi pengetahuan dari berbagai media,5
sngt bgus aplikasi ini sya Bru mencoba nya sya smngt puas Skali,5
seru tapi agak sus,4
kok punya guwe ngak bisa buat Chet pacar guwe haran nya dong,1
Dengan Menggunakan acoun Instagram 🤝 saya bersemangat untuk menghibur diri kita sendiri,5
nice apps,5
"coba login ke akun IG gabisa, masukin sandi bolak balik tetep gabisa reset sandi jg gabisa ""akun diragukan"" sedihhhhhhhhh",4
aplikasi nya bagus bangett sukaa sama reels nya,5
sangat bagus,4
karena masih pembaruan jadi butuh waktu,4
tertulis nama mu,1
aplikasi yg mantap pool deh,5
mantap,5
kok ini dak bisa dibuka,5
bagus sekali bisa ber bagi cerita 👍,4
tidak jelek,5
bagus,5
"INSTAGRAM HEY Why??? Kenapa Hari ini dari pagi tadi, Mau Upload status pake musik tapi musik atau lagunya Gak ada Kosong sama sekali Udah restart HP tapi Masih gak bisa ada apakah?",1
filter jj nya hilang,4
Sangat bgus cocok untuk pengganti tiktok,5
Gacor lehh,5
sangat bagus sekali,5
bagus,5
sya ingin jdi kreator instagram pantau trus akun saya endhi_07,5
Bagus dan irit Kouta,5
sekarang instagram penyimpanan semakin banyak memakan memori 😁,3
"IG SEKARANG BANYAK BUG, SAYA SETIAP MAU NGIRIM VIDEO YG REKAM LANGSUNH LEWAT IG KEBANYAKAN PAS SAYA UPLOAD TIBA"" GK BISA DI UPLOAD DAN VIDEONYA HILANG, TERUS RESOLUSI SG SERING JADI BURIK, OTAK DIMANA, MAKIN UPDATE MAKIN BOBROK SISTEMNYA",1
seru banget bisa upload dan dapat duit mantap dah semuga update lagi ya meta instagram dan wa,5
good,5
good,4
😉,5
tolong benerin akun saya.ga bisa masukjirr tulisannya harap tunggu mungkin ada kesalahan.jadinya saya ga bisa memakai ig lagi,3
👍,5
carilah nama akun instagram aku cibondk_lan bantu follow ya teman teman,5
Rawarr,5
seru banyak meme nya,5
bagus kali,5
em ini bagus,5
sangat bagusss,5
mantapppppoppppppp,5
"kembalikan fitur ""tarik pesan saya""",2
SUKAAAAAAA🤩🤩🤩🤩🤩🤩,5
keren parah,5
Apk ini matap,5
menakjubkan 🤎,5
Bagus bangat dan hemat,5
"Apknya mayan lah,soalnya kalo kita punya temen yg kita gk ada nomer kita bisa dm lewat instagram.trimakasih",5
bagus,3
suka akuu,5
sering ngehek terus,1
"Mantap, sangat bagus",5
fitur komentar di story nya ga keluar udah update tetap ga ada tolong aktifkan cevattt,1
kenapa banyak ngebug ya? aku mau repost story malah keluar mulu:( kok ig ku ga apdet2 ya😭,1
"di instagram saya ga bisa masukin sorotan lagi, ini gimana coba?",5
sangat bagus,5
banyak teman,5
Mmeww,1
"mintol lahh, ini dm gw ngebug. loading mulu ga jelas",2
sangat bgus,5
jos,5
"ga ngapa"" in eh akun di ban",1
susah bgt login knpa si?? ngeselin bgsatt,2
siip..lah,5
keren,5
mantap,5
bagussss,5
bagus,5
gimana ini gak bisa di download apalah padahal hp nya baru loh,1
bagus👏👏,4
Keren banget👍👍👍,3
"setelah di-update kadang ngebuka ig sendiri tanpa disentuh gatau kalo pengguna yang lain demikian, tapi punya saya kadang ngebuka sendiri. semoga cepat dibetulkan bug nya, terimakasih.",2
di sini sangat seru saya mengaploud banyak hal yang saya bisa ketahui saya jadi bisa mengedit video nya bagus sekali dan foto jadi saya senang yang membuat instagram kalau bisa sponsor saya dong agar makis suka bermain instagram dan uang membuat instagram saya selalu bangga dengan anda dari anandara kezia bhadrika terima kasih,5
"8,m",1
Aplikasi terbaik saat ini ✅️,5
ok,5
kenapa kalo kita cari filter yg kita inginkan selalu aja nggak ada kenapa sih tadi saya udah cari filter yg saya mau kok malah nggak ada sih,5
aku seneng menggunakan Instagram,5
monet yuk bang meta,4
ini Instagram terlalu bagusss,5
sangatt memuaskan dan bisa komunikasi,5
Saya menyukai ig,5
great apk,5
kurang baik,4
busuk!!!,1
Idem opo jarene ae... josss,5
sangat berguna,5
saya suka instagram,5
top,5
"Pertama, aplikasi nya sering bgt kebuka sendiri misal lg buka tiktok trs tau"" langsung login Instagram sendiri,sering logout sendiri jg,kedua tiap aku live tiba"" live diberhentikan,ini udah aku update udah aku uninstall download lagi tapi tetep bug terus kenapa ya",2
lumayan,4
sering bug (keluar sendiri) padahal sebelumnya aman² saja,2
mantap,5
Digunakan untuk berkomunikasi,5
tolong saya filter IG saya tidaklah banyak tolong untuk diperbaiki ya,1
ig saya tidak bisa di buka 1 hari,1
Good app,5
bagus apa lagi di kasih fyp,5
terus berkembang,5
josgandos,5
Sangat bagus,5
"aplikasinya sangat baik,dan membantu, untuk kreator seperti saya.terima kasih 😊🙏",5
pernah sekola di SMP Jatibarang,5
instagram. sangat bermanfaat buat tautan ke aplikasi lain. dan sudah banyak menghasilkan. kinerja yang bagus yang saling berkaitan buat pengguna ke aplikasi lain,5
Good,5
😍😍😍😍,4
bagus,5
"Setelah update instagram jadi error bgt, padahal sebelumnya sudah baik. Bagaimana ini developer jangan mementingkan fitur saja, tp kenyamanan juga perlu!",3
sangat bagus,5
say tidak suka dengn apk ini,1
Asik,5
"semenjak update versi baru instagram saya jadi lemot,ga kebuka kebuka status apalagi update an feed dll...lebih suka versi lama,apa bisa balik lagi ke versi lama🥹",1
bagus,5
"tolong benarkan ig saya, pdhl kata sandi dan email sudah benar, tapi mengapa selalu muncul ""kata sandi salah"" dan saya juga jadi gabisa login akun saya",1
baguss bgtt,5
Baik,5
good,5
sukses untuk team meta,4
ini kenapa ya tiba tiba akun aku di ragukan padahal aku tidak membuat kesalahan dan saya hapus dan download lagi tdi mslah putih semua dan ada tulisan di atasnya tolong dong di perbaiki nanti setelah di perbaiki saya kasih Bintang 5 pliss tolong developer Di baca dong hanya ig Yang membuat saya dapat berkomunikasi dengan teman teman saya. Terima kasih. mohon maaf jika ada kata kata yang salah 🙏🙏🙏 dan tolong dong di perbaiki plis kok belum di perbaiki tolong dong nanti saya kasih bintang 5,2
kesalahan mulu kapan beneryah?,1
Tolong blokir iklan judi online yang mengganggu....sering update ada perubahann di apanya,4
good,5
sangat membantu terhadap bisnis saya..,5
erer,3
please return the notes feature in every post,5
kritik dari ku cuma 1: kenapa akun seseorang yang udah di blok sama aku tapi tiba tiba beberapa Minggu kemudian akun itu ga di blok padahal aku ga pencet buka blok nya,1
apk nya bangus gak ada yang aneh maka dari itu aku kasih Bintang 5,5
nice apk 😉,5
"seru, tapi gk bisa slowmo patah patah",3
malahan gak bisa Login terus asik muter aja alias warna putih aja... kalian jangan download ya guys.,1
aplikasi ini sangat bagus bagi saya bisa memberikan motifasi hidup untuk semua orang sebagai kreator vidio dan teks motivasi hidup 🥰🙏,5
mantap pokoke,5
bagus tapi kurang efek 🙏🏾🙏🏾🙏🏾🙏🏾,5
sangat bagus,5
bagus,5
menambah pengetahuan,5
madesubawaarsana,5
mudah mengetahui semua hal,5
terimakasih buat aplikasinya semoga sukses selalu,5
"menyenangkan. informatif, bisa berbagi pengalaman, mudah penggunaan fitur²nya.",5
"banya bug... saat baru di buka dari recent app, setelah agak lama di backroud applikasi, setelah dibukka setelah di scroll.. langsung forclose.. kadang ngk bisa di scroll",2
ig saya bermasalah,1
saya pengguna Instagram lebih aktif di Instagram,5
sudah.,5
Quite a few users online.,4
Bagus,5
kenapa ya akun gw yg satunya g bisa komen di sg orang-orang pdhl akun yg ke dua bisa udh coba uninstall berkali kali tpi ttp aja g bisa,2
maa syaa Allah Alhamdulillah makin 👍,5
"jangan hilangin fitur note pls, terus tolong adain fitur kalo org unfollow kita, kita juga otomatis unfollow dia, butuh banget",4
bagussss,5
Bagus,5
instagram sekarang rusak gak jlas banget. akun gw kena baned tampa alasan yg jelas dn bikin lg sampe 5 x kena ben semua,1
BAGUS BANGET JIRR,5
menarik perhatian,5
uda bagus cuma kadang suka aneh gitu plis,4
memuaskan bisa jadi media informasi yg memudahkan,5
☺️,5
makin gajelas anjir,1
tapi aku juga tulus dari hati aku suka 🥰,5
"tolong dong, kenapa setiap saya mau buka aplikasi nya tiba tiba keluar? ngebug atau gmna. saya mohon diperbaiki",1
bagus lah ya👍🏿👍🏻,5
no humanis,5
Instagram sangat banyak membantu,5
"apk nya keren, tapi sayangnya yg ikuti harus ituti balik, coba aja klo yg balik itu mantan",5
postingan ttba blur padahal aslinya ngga,2
instagram terbaik untuk promosi usaha,5
funfact setiap hari liatin story tmen bucin mulu gw kpn,1
amazing,5
menjadi guru,5
apl ya sangat bagus saya suka banget sama apl ini,5
Mengubah icon highlight kenapa lama sekali? sangat kecewa dan membuang waktu,1
pokoe bagus seru serba bisa mantap,5
sangat Bagus,5
baik,5
apk asu ngak bisa cari evek jj hanya bisa cari evek foto nga bisa yg lain mending jangan di download,1
sosial media skrng memang canggih tp kdang ada jg yg buat hal yg kurng baik 🙏🤭,4
love you bgtt buat Instagram,5
terima kasih 🙏🙏🙏,5
Terima kasih sudah menyediakan aplikasi sosial media yang luar biasa membantu berjejaring dengan banyak orang.,5
Jos selalu setia,5
💯💯💯💯💯💯💯💯💯💯💯💯💯💯,1
TIDAK USAK DITANYAKAN LAGI LAH YA,5
awal enak lama lama GK soalnya simalisasinya GK kuat🙏😷😷😭,1
Pengaturan yang kacau..,1
kluar sndiri tiba',2
bagus,5
good,4
"saya ga bisa hapus lagu di bio saya, keselll",1
ngelag mulu njir,2
baik,5
jelek,1
"halo admin knp gak bisa nulis komentar yah, bisa cuma kolom kentar dibawah ketutupan keyboard",3
gwncanayo,5
bagus..baik,5
Karna saya suka sekaliii,5
terbaik sih❤🔥,5
nggak ada orang centang biru yang mengunjungi profilku,5
oke,4
ok,3
sangat membantu,5
udah lebih dari 10th gue pake ini .dan selalu sukaaa,5
𝙤𝙠,4
"aku sangat suka,dan bagus",5
"kenapa si setiap mau post story keterangan kesalahan terus dan tdk ter update storynya,,, sering bgt loh kaya gini instagram .. !!!!",1
"bagus, membantu bgt.",5
"ni lagi aplikasi yang isinya berita tolol semua,pengguna pengguna bego malah di kasih izin buat instagram apk tolol",1
"di update jadi lag, padahal sinyal lancar di poco f2 pro, tolong perbaiki",1
aplikasi nya bagus cuman efek nya pada hilang kenapa ya??,3
terbalik,4
Bug komentar tidak muncul sangat menggangu,5
"aku kesel banget, Instagram tu ngajukin banding terus ke akun ku. keselll. aku tu buat akun terus apus lagi karena ada masalah pribadi, aku bukan orang jahat. pas giliran akun ku udah aman, diajukan banding lagi, capek aku woy. Sampek aku bikin pakek email orang, pas aku masukin ke hp ku kena banding lagi",1
"orang"" pada kasih bintang 1 saya nak kasih juga ahh",1
mas udapuya aku semoga mas bisa bergabung selamat pagi bunda Amin,5
ok mantappp,5
knp di hapus jj nya padahal bagus mi😭👊,2
bagus banget,5
semenjak di update IG jadi banyak banget kurangnya sekarang sedih banget jadinya🥲,3
e e k,1
mantap 🗿,5
aplikasi yang bagus,4
aplikasi sangat membantu untuk promosi,5
aplikasi yang mudah untuk mendapatkan kabar,5
aplikasi ini sangat bagus,5
keren bangettt insta✨,5
Ok,5
efek nya jelek jelek sekarang and ga bisa nge live jugaa kee kee moyed,2
saya sangat menyukai aplikasi ini karna banyak teman dan aman untuk di gunakan🥰,5
good,5
kenapa story ig tidak tersimpan di arsip?,1
Sangat baik,5
bgus,5
sngt keren,5
aku kagak suka apk ini,5
oke dokie,5
Banyak dapat informasi bagus disini. Mudah2an bisa berkontribusi juga buat bisnisku. Trimks Instagram.,5
"hapus saran akun plis, tiap kali liat story selalu reflek kepencet ngefollow orang yang lu saranin, pdhl lagi ga niat ngefollow malah kepencet follow gara-gara fitur saran akun di story, nggak banget!!!!!!!!!!",1
iya bagus. banget,5
"Karena app ini jadi mudah untuk menyimpan kenangan, aku harap kedepannya ada fitur otomatis yang merapikan foto yang berantaka.",5
sangat update perkembangan.,5
keren,5
amezing,5
Tolong Instagram mengapa seperti ini semenjak di update malah eror,1
bgus,4
"Masih lambat,putar melulu",5
Sangat bagus,5
"ini kenapa yaa ig sukak keluar keluar sendiri, padahal posisinya lagi ngedit foto yg mau di posting. udah tinggal di post tuh, kok malah keluar sendiri. udah gitu pas masuk lagi, foto nya udah gak adaaa. itu gak bisa apa otomatis masuk draf gituu. capek wehhh, masalah nya gak sekali dua kalii, seringgg bngett. kan jadi maless gitu loohhh kalo mau bukak ig sekarang 🥹 ini habis ku update lagiii, dan coba buat post foto foto lagii. ehhhh, kok malah tambah parahhh, dahlahhh capekkk",1
bagus,5
mengisi ke gbutan,5
mengapa aplikasi mengalami bug terus??,1
aplikasinya bagus 😊,5
filter nya kurang banyak mana lagi paas kita cari nama nama filter nya gak ada coba update kali ini banyak filter Instagram memakai nya kalo banyak kan lebih seru karena bisa pakai yang lain lain pas di cari nama filter nya pasti selalu gak ada. tapi aplikasi nya bagus,5
balikin feed Instagram ke persegi 1:1 donggg!,4
memberikan informasi tentang tayangan di sekitar kita dan pelayanan yang terbaik untuk masyarakat umum,5
like,5
membanti,4
aneh,1
menarik,5
ADDED FEED. WE NEED THIS FEATURE 🙌🏻,5
tolong notes reels dikembaliin njir,1
Menyenangkan,5
keren,5
Instagram emang bagus apk nya,5
mantap... tingkat kan lagi,5
suk banget,5
mantap,5
Bagus,5
lenyy.vera,5
it's thebest,5
usahin nggak ada masalah dalam mengunduh atau lai lain maksih,5
"kenapa bagian konten yang disarankan malah kacau,, yang tidak pernah di cari malah itu semua yang keluar. menyebalkan.😤",3
nyusahin banget GK bisa login lagi pake FB,2
gaa bisa komen story bjir,3
semoga semuanya selalu sehat dan sukses serta bahagia dunia dan akhirat,5
"Bagus Apanya, kenapa Teman aku kok Akunya di Blok terus, Instgram ini yang benar saja, masah baru daftar langsung ada pelanggaran, Ini harus di tinjau kenapa dg akun Instagram Teman aku, kenapa baru daftar langsung di Blok begitu saja...",1
ok,3
min ig saya gak bisa buat munculin musik kenapa iya.,4
"Fitur simpan cerita ke galeri tidak bisa di nonaktifkan, Gak di aktifin malah aktif sendiri,, kok Gak di Fix ini Bugnya",1
TIMBANGGG GANTI SAMPUL HIGHLIGHT LAMAAA BANGETT ANJENGGGG,1
Selalu up to date,5
"Tolong kenapa note di reels hilang, terus feed jadi 3:4 😔 tolong kembalikan ke 1:1, Lagunya bentar banget lagi. Tolong tuh video dgn foto di story kenapa ga bisa di save lagi sih 😭. Makin ke sini makin banyak bug sumpah. Mana reels gw isinya aneh aneh",1
Meta knpa gk bisa deteksi kalo yg login bukan zaya haxehh bikin puzing,2
mantap,5
nice,5
"kenapa ada saran teman secara otomatis di barisan cerita yang saya ikuti, secara tdk langsung kepencet cerita mereka yang tidak saya ikuti😌",1
oke,5
bagus dan baik,5
bagus,5
kok nggak ada note di reals ig ya tolong aktifkan lagi dong 🙏🙏,1
"setiap abis update story dengan musik pasti enah kapan musiknya bakal diapus dan story yg memakai musik tersebut menjadi jelek, kenapa harus dihapus²? musik yg tersedia juga tidak lengkap, dan sekarang bertambah lgi masalah ny, mshl kmrn blm selesai udh muncul lgi yg baru, sg temen ga bisa di repost lah, ngbug pula, dan msh bnyk yg laen, gaada mau perkembangan kah? new: apasi mau ganti pw susah bgt udh bener lu urus Facebook aja anj gaush gegayaan wa ig lu pegang, gaada perkembangan dri kpn tau",1
good,5
luar biasa,5
thenks for you,5
saaat puas saya,5
ok bos,5
mantap,5
memberi nuansa baru,5
"susah banget kalo mau login akun yang lupa sandi, malah suka ada bacaan ada masalah",1
jos,5
knpa KLO udah punya akun trs Ig nya di hps mlh akun nya ikut ke hps trs KLO donlod harus masukin akun knpa ga lngsng ke akun yg sudah di buat?,3
IG = Kereen....👍,5
"Semua fitur mendukung sekali, tapi kenapa Instagram saya di non-aktifkan oleh pihak Instagram???? Please reaply",5
keren,5
aplikasi Instagram jual iklan judi ya sekarang?,1
iyain ajah deh,5
kok efek stori di ig saya suka ga muncul ya?,4
cukup baik,4
"semakin lama semakin menarik, memanjakan influencer & konten kreator, loading videonya sudah lancar & bebas hambatan.",5
"kadang ngebug"" tolong di perbaiki kembali",2
Knp susah bgt upgret nya,5
tap mantap,5
Good,5
bagus,3
"suka banget sama instagram, tapi saya kasih rate 4 karena yang sempurna hanya milik Tuhan🙂‍↕️",4
okeee kembangkan afiliannya,5
bagus,5
"saya kurangi bintangnya, aplikasinya akhir2 ini nge bug terus font dan tampilannya jadi kayak ig jaman dulu banget, setiap masuk oke nanti keluar aplikasi balik masuk lagi jadi tampilan jadul.",2
bagus,5
saya sangat menyukai instagram,5
bagus,5
mantab tampilan lebih menarik,5
mantaf,5
Good,5
bguss,5
apk k yg sangat bagus,5
ok ;,4
"tolong lah di adakan iklan pada reel nya biar ada pendapatan dari reel,biar gak ngabisin waktu doang 🙏",5
asu error cok,1
instrangram lite mulai tdi berubah ku hpus wes,2
bagussss bangettt,5
❤️,5
bagus,5
klo live jarang muncul kamera,1
naon,5
aplikasi sangat bermanfaat ..pertahankan jangan lemot yaaa😊👍,5
", di pantamna ya Allah rrrrrrrrrrrrrr,,,,,,,,,,,,i",3
good good aplikasi ya sangat bagus 📌🥰🌹,5
"bagus.. butt.. GABISA NERIMA ATAU NGIRIM PESAN DI APLIKASI INI, PADAHAL AKUN SAYA MEMATUHI STANDAR KOMUNITAS, SELAIN ITU SAYA JUGA TIDAK DAPAT MENGAKSES FITUR YANG ADA DI PESAN, PEFBAIKI LAGI ADMIN JIKA INGIN SAYA RUBAH RATINGNYA MENJADI BAGUS TERIMAKASIH",1
kenapa fitur lagu di bio hilang ya?,4
kotet,5
bagus,5
"tolong perbaiki lagi, gagal terus menerus saat login.",2
mantaap,5
kasih saya kesempatan kemajuan konten kreator kawan,5
ok,5
"knp pas sya login tdk bisa,pls jgn donwlod ini,ini sngt jlk jika anda masi ngeyel anda akan menyesal",1
ok,5
bagus banget ig nya,5
Instagram good,5
baguss,4
aplikasi bagus dan seru karna bisa chat atau kirim vd bareng tmn,5
sangat bagus,4
"akun Instagram saya #ahmadwnss kok gak bisa masuk sih padahal sandinya benar,kenapa pihak Instagram tidak merespon saya",1
ig banyak berubah jadi jelekk bangett skrg gasuka,1
ngk mqu terinstal,1
bagus bagus,5
Amazing Aplikasi,5
ok,2
happy and enjoy,5
Mewakili Perjalanan Pribadi utk dibagikan Kpd smua pihak,5
tolong Instagram. gua ga bisa masuk akun gua. muat ulang terus aneh kali😪,1
Mantap👍🙏,5
"lumayan, walau akun saya sering di ban tanpa sebab dan penyebab",2
suka bnget,5
"I hate you, Insta!!! why u delete the reels note? I'm so hate that!!! please, now I can't code anyone anymore like my crush or my friends 😭 please turn it back 😔🙏",1
sangat bagus dan puas,5
jelek,1
Good 👍😇,4
sangat menghibur,5
Bagus,5
bagus,5
akun saya setelah di-update tidak bisa melakukan siaran langsung,1
kurangnya di pencarian,4
"waktu saya ingin login ke aplikasi ini banyak terjadi kesalahan sistem namun sudah kutunggu beberapa hari tetap sama masalahnya, tolong benerin ini aku mau login",3
selalu gk bisa loginnya,5
kenapa efek vidio di hapus dan di sisain efek² lama?,5
great apps,5
sukses terus amin 🤲💓,5
bagus,4
"saya sangat suka dengan Instagram,, mksi 🙏",5
agk tidak menyukai nya,3
mantap,5
bagus👍😎,5
bagus,3
knp saat menandai teman di story GK bisa org tersebut ngerepost?,5
kena suspend terus,1
Asuuk *asikk,5
burik,1
rasisme terhadap pemilik akunnya sendiri,1
Sangat berguna,5
baik,1
saya suka dengan afk nya,5
kece abis,4
bgus,5
"sangat bagus untuk update keseharian, publik juga jadi bisa tambah teman dan bisa silaturahmi jugaa",5
saya sangat menyukai aplikasi ini,4
bintang 1 karna bikin cewe aku kesel😡😡,1
sukaaaa,5
matap,5
knp filter jj nya hilang,1
sangat puas,5
sangat membantu sesuatu,5
top markotp,5
cari pacar live,1
baguss bangett sumpahh✌️✌️,5
"Bisa menanbah wawasan pengetahuan dan hiburan,terima kasih",5
setelah update sistem nya sekarang sering error! terlalu banyak kebijakan!,1
kenapa saat liat profil leg ya tolong perbaiki,3
"bug yang sudah lama tidak diperbaiki, setiap keluar dari aplikasi video dan suara selalu masih menyala",1
MAHDIAN,5
bagus,4
Good,5
"Fitur² nya bagus, cuma ada sedikit saran saya dari saya, yaitu tambahkan fitur jumlah tayangan pada catatan yang kita buat khusus nya lagu pada catatan. Terima Kasih",4
good experience,4
bagus 🙃,4
bagus,5
Sangat membantu kami dalam berbagai kegiatan,5
wah bagus sekali apk ini,5
lemot suka berhenti sendiri,5
mantaf pooolllll,5
"explore nya muncul dari postingan luar negri, gak jelas dan gak tertarik lihatnya",2
sangattt wawwwww,5
mantap,5
Aplikasi instagram ini sangat bagus untuk digunakan sebagai sosial media. saya suka dan senang banget pake instagram ini.,5
jos gandos,5
GOOD I LOVE Instagram😍😍,5
"tolongg kembaliin note di feeds ig nyaaa jangan dihapusss, itu berguna bangett banyak kokk yang sering pake fiturnyaa, sayang banget kalau dihapus nanti, aku nyari nyari udah engga ada ternyata katanya udah mau dihapus karna engga terlalu digunain, tolongg yaaa kembaliin lagiiii t______t thank u!",5
jelek ga bisa bikin akun eror mulu,1
bagus banget,5
Nurisya 7,3
mantap,5
bGus,4
baru permulaan jdi kita ksih 5 dulu 🥰,5
"knp catatan di Ig di hapus?, pdhl...dahlah😒",1
ditangguhkan pdhl gak ada yg aneh2 gila skrg instagram,1
sangat bagus,5
g bisa masuk,5
ok sip,5
"sudah diupdate, begitu apk dibuka tb² keluar sendiri, dan sudah berkali² bgtu, tolong diperbaikin lg krn ada akun saya",4
Tidak bisa berlangganan meta,3
sangat baik,5
mantap,5
sangat bagus,4
ig nya aneh udah pw benar nomernya benar tpi pas login gabisa jawabnya pasword salah paslogin hp kawan bisa aja🤔,1
terbaik,5
nice,4
kenapa tidak dapat memuat kabar beranda terus tolong di perhatikan,1
good,5
sangat senang,5
aplikasi nya bagus deh pokok nya mantep banget aku suka banget,5
ok banget,5
baguss,4
Akun ig saya kenapa error dan tidak bisa dibuka? Tolong direspon segera,1
kenapa akun saya di tangguhkan ? padahal saya tidak melakukan tindakan apapun,2
bagus,5
SEMPURNA,5
Instagram ini sngt baguss,5
Nayla,5
Kenapa ig saya rusak,5
good,5
sangat memotivasi,5
saya tidak kebagian fitur baru,2
"media informasi yang sangat memberikan informasi pengetahuan dan sebuah pengalaman, terus tingkatkan lagi Instagram",5
bagus sekali,5
"Aneh, ga bisa login mulu",4
apk gkjls gabiss di loginkan!!..!!!!,2
"kena report orang dengan tuduhan sembarangan tapi ga tau siapa yg report. uda ajukan banding, rekam video selfie gagal terus.",1
ok,5
best,5
Please don't delete the archive feature please.,5
"aplikasinya sama fiturnya oke bagus,saya suka👍",5
OK Banget,5
👍👍 bagus,5
good,5
sangat bagus,5
jelek,1
keren,4
good,5
kenapa habis di update malah gada tombol ARSIPKAN di STORY IG sii? 😔,1
"Mantap,saya suka dan sayangnya akun saya pernah hilang tiba-tiba",1
"saat melakukan riset password padahal sudah selesai berhasil, tapi saat di gunakan login tidak berfungsi, riset kata sandi berulangkali pun hasilnya sama saja sangat mengecewakan akun sampai tidak bisa di buka.",1
INI KENAPA PESAN TIDAK TERSEDIA TERUS KOCAK,1
bagus banget saya suka sekali,5
oke,5
ini sanggt bagu,5
"apknya gabisa dibuka, malah menginstal",1
aplikasi yg bagus,4
"Tolong, Pihak Instagram kembalikan akun instagramku yang kau banned. Aku tidak komentar aneh-aneh kemarin, tiba-tiba di banned paginya. Tolong diperjelaskan dimana letak kesalahan saya. Sudah aku ajukan banding tapi belum ada tanda-tandanya. Tolong kembalikan akun saya. Aku sudah DM akun instagram Official.",1
saya sangat senang menggunakan aplikasi Instagram,5
good,5
"kenapa fitur menambah kan foto yang sudah di post sekarang jadi tidak ada? tolong di perbaiki lagi dong, adakan lagi fitur penambahan foto nya.",5
"mau upload foto tapi kalau di tambahin musik pasti nge close sendiri, padahal udah edit fotonya. harus mulai dari awal lagi dan gitu lagi. gimana sih instagram makin gajelas",2
keren,5
